title,description,source,url,published_at,political_label,confidence,text_classified
"Prince Harry returns to the UK, but it’s unclear if he’ll see King Charles","Prince Harry is returning to the United Kingdom for a short visit this week, prompting speculation over whether he might meet his father, King Charles III.",CNN,https://www.cnn.com/2025/09/08/uk/prince-harry-return-uk-wellchild-intl,2025-09-08T09:36:38Z,LEFT,0.3868495523929596,"Prince Harry returns to the UK, but it’s unclear if he’ll see King Charles Prince Harry is returning to the United Kingdom for a short visit this week, prompting speculation over whether he might meet"
L.A. Controller Accuses City of Wasting Millions on Outside Audits,"Los Angeles City Controller Kenneth Meija said Wednesday that the city had wasted millions of dollars on outside audits of its homelessness program rather than using his office for free -- then ignored the results.
The post L.A. Controller Accuses City of Was…",Breitbart News,https://www.breitbart.com/local/2025/09/25/l-a-controller-accuses-city-of-wasting-millions-on-outside-audits/,2025-09-25T19:25:48Z,RIGHT,0.5304558277130127,L.A. Controller Accuses City of Wasting Millions on Outside Audits Los Angeles City Controller Kenneth Meija said Wednesday that the city had wasted millions of dollars on outside audits of its homele
California Ranks Best -- and Worst -- in Poll of Desirable States,"California ranks near the top of the list of most desirable states -- and at the bottom of the list of least desirable states, reflecting Americans' divided view of the Golden State.
The post California Ranks Best — and Worst — in Poll of Desirable States app…",Breitbart News,https://www.breitbart.com/politics/2025/09/19/california-ranks-best-and-worst-in-poll-of-desirable-states/,2025-09-19T20:07:15Z,LEFT,0.5752835869789124,"California Ranks Best -- and Worst -- in Poll of Desirable States California ranks near the top of the list of most desirable states -- and at the bottom of the list of least desirable states, reflect"
Trump-Appointed Judge Blasts 'Chaos' As She Blocks HUD Policy,The Department of Housing and Urban Development published new application criteria for homeless housing grants on September 5.,Newsweek,https://www.newsweek.com/trump-appointed-judge-blasts-chaos-blocks-hud-policy-2129309,2025-09-13T11:44:59Z,CENTER,0.49383875727653503,Trump-Appointed Judge Blasts 'Chaos' As She Blocks HUD Policy The Department of Housing and Urban Development published new application criteria for homeless housing grants on September 5.
Wealthy Liberal Enclave of Santa Monica to Declare 'Fiscal Emergency' over Sexual Abuse Payouts,"The city council of Santa Monica, California, will be asked to declare a ""fiscal emergency"" this week over hundreds of millions of dollars that it has paid in ongoing sexual abuse litigation.
The post Wealthy Liberal Enclave of Santa Monica to Declare ‘Fiscal…",Breitbart News,https://www.breitbart.com/politics/2025/09/08/wealthy-santa-monica-to-declare-fiscal-emergency-over-sexual-abuse-payouts/,2025-09-08T08:36:16Z,CENTER,0.4745634198188782,"Wealthy Liberal Enclave of Santa Monica to Declare 'Fiscal Emergency' over Sexual Abuse Payouts The city council of Santa Monica, California, will be asked to declare a ""fiscal emergency"" this week ov"
Americans are drowning in auto loan delinquencies. Report says Congress needs to fix it.,"A new report by the Consumer Federation of America to Congress calls on lawmakers and regulators to protect car buyers, saying a crisis is at hand.",USA Today,https://www.usatoday.com/story/money/2025/09/10/auto-loan-delinquencies-debt-report/85998815007/,2025-09-10T09:06:07Z,CENTER,0.8768358826637268,Americans are drowning in auto loan delinquencies. Report says Congress needs to fix it. A new report by the Consumer Federation of America to Congress calls on lawmakers and regulators to protect car
Fox News Host Apologizes After Proposing 'Lethal Injection' for Homeless,Brian Kilmeade had suggested using lethal injections on homeless people with mental illnesses.,Newsweek,https://www.newsweek.com/brian-kilmeade-homeless-people-lethal-injection-2129594,2025-09-14T15:56:37Z,RIGHT,0.5174998044967651,Fox News Host Apologizes After Proposing 'Lethal Injection' for Homeless Brian Kilmeade had suggested using lethal injections on homeless people with mental illnesses.
"DC crime falls, but tourism takes a hit too as Trump’s federal surge reaches one-month mark","A month into the law enforcement surge, crime in DC is down, homeless encampments have been cleared, and hundreds of people accused of being in the US...",CNN,https://www.cnn.com/2025/09/09/politics/washington-dc-30-days-crime-police-national-guard,2025-09-09T10:00:05Z,LEFT,0.47135552763938904,"DC crime falls, but tourism takes a hit too as Trump’s federal surge reaches one-month mark A month into the law enforcement surge, crime in DC is down, homeless encampments have been cleared, and hun"
"Conor McGregor Rips Irish Officials, Tells Voters to Get Him on the Presidential Ballot","Conor McGregor has taken another step in his campaign to be elected to Ireland's presidency with a speech ripping the current government.
The post Conor McGregor Rips Irish Officials, Tells Voters to Get Him on the Presidential Ballot appeared first on Breitb…",Breitbart News,https://www.breitbart.com/sports/2025/09/05/conor-mcgregor-rips-irish-officials-tells-voters-get-him-presidential-ballot/,2025-09-05T20:27:11Z,CENTER,0.4307597279548645,"Conor McGregor Rips Irish Officials, Tells Voters to Get Him on the Presidential Ballot Conor McGregor has taken another step in his campaign to be elected to Ireland's presidency with a speech rippin"
"Most US adults think individual choices keep people in poverty, new AP-NORC/Harris poll finds","A new AP-NORC poll finds that most U.S. adults think personal choices are a major driver of poverty and homelessness, while fewer blame a lack of government support",ABC News,https://abcnews.go.com/Politics/wireStory/us-adults-individual-choices-people-poverty-new-ap-125384405,2025-09-09T04:14:20Z,LEFT,0.37859177589416504,"Most US adults think individual choices keep people in poverty, new AP-NORC/Harris poll finds A new AP-NORC poll finds that most U.S. adults think personal choices are a major driver of poverty and ho"
